tokenizer,repr,model,prep_sec,feat_sec,acc,f1,roc_auc,pr_auc,train_sec,cov_train,cov_test,total_sec
jieba,tfidf,lr,1.366,0.211,0.832,0.893,0.902,0.982,0.003,,,1.58
ckip,tfidf,lr,192.749,0.297,0.832,0.893,0.897,0.981,0.004,,,193.05
ckip,fasttext_mean,lr,192.749,3.554,0.799,0.871,0.891,0.979,0.048,1.0,1.0,196.351
ckip,w2v_mean,lr,192.749,1.568,0.81,0.88,0.889,0.978,0.057,0.954,0.915,194.375
ckip,tfidf_svd300,xgb,192.749,1.087,0.846,0.911,0.886,0.978,1.756,,,195.592
ckip,tfidf_svd300,rf,192.749,1.087,0.861,0.919,0.883,0.978,1.688,,,195.524
ckip,w2v_mean,mlp,192.749,1.568,0.886,0.936,0.876,0.975,0.244,0.954,0.915,194.562
jieba,tfidf_svd300,svm_rbf,1.366,1.094,0.846,0.913,0.875,0.976,0.295,,,2.755
ckip,w2v_mean,xgb,192.749,1.568,0.853,0.915,0.874,0.976,1.481,0.954,0.915,195.798
ckip,fasttext_mean,mlp,192.749,3.554,0.872,0.928,0.872,0.975,0.39,1.0,1.0,196.694
jieba,w2v_mean,lr,1.366,1.551,0.784,0.864,0.87,0.975,0.038,0.936,0.891,2.955
jieba,fasttext_mean,lr,1.366,3.487,0.755,0.841,0.869,0.974,0.035,1.0,1.0,4.887
ckip,fasttext_mean,xgb,192.749,3.554,0.875,0.928,0.868,0.974,1.661,1.0,1.0,197.964
jieba,tfidf_svd300,xgb,1.366,1.094,0.857,0.918,0.867,0.975,1.335,,,3.795
jieba,tfidf_svd300,rf,1.366,1.094,0.846,0.909,0.862,0.974,1.532,,,3.992
jieba,tfidf_svd300,svm_poly,1.366,1.094,0.842,0.915,0.861,0.974,0.279,,,2.739
jieba,fasttext_mean,mlp,1.366,3.487,0.853,0.919,0.853,0.971,0.247,1.0,1.0,5.1
ckip,fasttext_mean,svm_poly,192.749,3.554,0.747,0.831,0.852,0.971,0.113,1.0,1.0,196.416
ckip,w2v_mean,rf,192.749,1.568,0.832,0.904,0.851,0.972,1.408,0.954,0.915,195.725
jieba,w2v_mean,xgb,1.366,1.551,0.864,0.923,0.85,0.969,1.264,0.936,0.891,4.18
jieba,w2v_mean,rf,1.366,1.551,0.857,0.919,0.849,0.971,1.488,0.936,0.891,4.404
ckip,fasttext_mean,svm_rbf,192.749,3.554,0.766,0.848,0.848,0.967,0.162,1.0,1.0,196.465
jieba,w2v_mean,svm_rbf,1.366,1.551,0.766,0.848,0.844,0.964,0.164,0.936,0.891,3.08
jieba,fasttext_mean,xgb,1.366,3.487,0.842,0.91,0.84,0.969,1.214,1.0,1.0,6.067
ckip,fasttext_mean,rf,192.749,3.554,0.839,0.909,0.84,0.969,1.422,1.0,1.0,197.725
ckip,tfidf_svd300,svm_poly,192.749,1.087,0.842,0.915,0.84,0.955,0.305,,,194.141
jieba,w2v_mean,mlp,1.366,1.551,0.853,0.92,0.837,0.967,0.193,0.936,0.891,3.109
ckip,tfidf_svd300,svm_rbf,192.749,1.087,0.861,0.921,0.837,0.958,0.32,,,194.157
ckip,w2v_mean,svm_poly,192.749,1.568,0.755,0.841,0.832,0.965,0.115,0.954,0.915,194.432
jieba,fasttext_mean,svm_rbf,1.366,3.487,0.722,0.812,0.831,0.96,0.179,1.0,1.0,5.032
jieba,fasttext_mean,rf,1.366,3.487,0.846,0.913,0.829,0.967,1.457,1.0,1.0,6.309
jieba,fasttext_mean,svm_poly,1.366,3.487,0.718,0.81,0.827,0.965,0.128,1.0,1.0,4.981
ckip,w2v_mean,svm_rbf,192.749,1.568,0.766,0.849,0.817,0.958,0.203,0.954,0.915,194.52
jieba,w2v_mean,svm_poly,1.366,1.551,0.74,0.829,0.791,0.933,0.12,0.936,0.891,3.037
jieba,tfidf_svd300,mlp,1.366,1.094,0.842,0.914,0.39,0.83,0.149,,,2.608
ckip,tfidf_svd300,mlp,192.749,1.087,0.839,0.912,0.296,0.794,0.258,,,194.095
